cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-704692-11,243.619873,5037.220703,·ñ
460-00-718901-21,52.50939941,362.354248,·ñ
460-00-703559-12,57.42211914,357.8404541,·ñ
460-00-661354-11,84.89001465,812.6673584,·ñ
460-00-203031-132,0,0,·ñ
460-00-826961-132,156.0274658,1512.290039,ÊÇ
460-00-704585-13,638.9476318,5259.923218,·ñ
460-00-661281-13,209.1032715,1960.358765,·ñ
460-00-718390-13,511.4517822,6565.988281,·ñ
460-00-703807-11,287.5936279,1729.054565,·ñ
460-00-703607-13,176.581665,1172.771362,·ñ
460-00-826924-133,0,0,·ñ
460-00-661675-12,14.66674805,174.0234375,·ñ
460-00-718671-11,21.92626953,132.2650146,·ñ
460-00-718401-11,571.0341797,4034.325806,·ñ
460-00-718882-21,170.0137939,1290.709595,·ñ
460-00-703805-12,110.3811035,1354.752197,·ñ
460-00-718638-13,100.7224121,857.4108887,·ñ
460-00-704665-11,36.33276367,304.706543,·ñ
460-00-661297-12,92.59436035,575.2159424,·ñ
460-00-704644-13,115.9182129,716.7159424,·ñ
460-00-661659-12,50.12121582,352.6074219,·ñ
460-00-703852-12,160.1038818,933.5600586,·ñ
460-00-703822-11,105.4865723,810.7227783,·ñ
460-00-703622-13,107.5454102,1138.864014,·ñ
460-00-661484-12,168.5089111,2914.454102,·ñ
460-00-661310-11,81.51831055,507.7181396,·ñ
460-00-708489-21,13.0135498,50.95703125,·ñ
460-00-718372-13,243.5026855,2073.717285,·ñ
460-00-661443-11,28.42456055,191.1678467,·ñ
460-00-703569-12,12.48693848,161.5535889,·ñ
460-00-718543-12,362.7905273,3707.505493,·ñ
460-00-661521-13,345.3013916,4755.559814,·ñ
460-00-703876-12,180.8752441,1283.842896,·ñ
460-00-703539-11,89.5222168,527.4731445,·ñ
460-00-661723-11,343.3459473,2215.06665,·ñ
460-00-203069-131,168.1638184,1609.129395,ÊÇ
460-00-703526-11,84.31567383,703.243042,·ñ
460-00-708491-11,63.33984375,240.5888672,·ñ
460-00-661645-11,324.9631348,3187.83252,·ñ
460-00-203064-131,17.98327637,165.3829346,ÊÇ
460-00-718620-12,6.913208008,46.22131348,·ñ
460-00-661324-12,21.25537109,134.4615479,·ñ
460-00-718969-12,128.7567139,1314.981567,·ñ
460-00-661487-111,137.7950439,1104.516968,·ñ
460-00-203254-133,1319.181641,11237.15967,ÊÇ
460-00-718776-21,21.69018555,122.1945801,·ñ
460-00-661268-11,326.3935547,2501.541016,·ñ
460-00-703812-13,35.88232422,221.7921143,·ñ
460-00-203313-131,535.5600586,3580.098267,ÊÇ
460-00-704659-13,77.89379883,546.3863525,·ñ
460-00-718702-21,175.2510986,1147.528564,·ñ
460-00-661625-21,56.20410156,446.9675293,·ñ
460-00-661290-12,20.81835938,202.0313721,·ñ
460-00-661499-12,121.0209961,1008.989746,·ñ
460-00-661525-12,71.02197266,530.421875,·ñ
460-00-703658-13,241.8145752,2158.084351,·ñ
460-00-661435-13,6.984985352,81.90612793,·ñ
460-00-718855-21,258.2529297,405.9691162,·ñ
460-00-661487-12,186.1031494,1628.474487,·ñ
460-00-704576-12,77.59680176,461.9838867,·ñ
460-00-661482-12,28.46679688,233.4910889,·ñ
460-00-661559-11,176.2508545,1618.824219,·ñ
460-00-718510-12,35.50622559,482.5452881,·ñ
460-00-203043-131,0,0,·ñ
460-00-704662-13,5.95703125,33.37243652,·ñ
460-00-718364-13,0,0,·ñ
460-00-661500-13,127.7509766,439.1663818,·ñ
